Particulars,Debit,Credit
Room Rent,,"18,50,000"
Extra Bed & Early Checkin,,"45,000"
Restaurant & Bar Sales,,"6,80,000"
Banquet Income,,"1,10,000"
Spa & Wellness Income,,"85,000"
Travel Desk Income,,"35,000"
Miscellaneous Income,,"28,000"
Housekeeping Salaries,"1,18,000",
Front Office Salaries,"86,000",
Staff Salaries & Wages,"2,40,000",
PF & ESI Contribution,"52,000",
Bonus & Incentives,"15,000",
Contract Labour Charges,"34,000",
MakeMyTrip Commission,"96,000",
Booking.com Commission,"72,000",
Guest Amenities,"27,000",
Linen Purchase,"14,000",
Laundry & Dry Cleaning Charges,"11,000",
Cleaning Materials,"12,500",
Channel Manager Subscription,"8,000",
Staff Training,"4,000",
Uniform Expenses,"5,500",
Food & Provisions Purchase,"2,10,000",
Kitchen Gas Cylinders,"22,000",
Restaurant Staff Wages,"1,55,000",
Electricity Charges,"2,60,000",
Diesel for Generator,"38,000",
Water Charges,"19,000",
Repairs & Maintenance,"98,000",
AMC - Lifts & AC,"24,000",
Advertisement & Publicity,"65,000",
Social Media Marketing,"30,000",
Internet & Telephone,"21,000",
Software Subscriptions,"12,000",
Printing & Stationery,"9,000",
Audit & Professional Fees,"25,000",
Bank Charges,"6,500",
Security Services,"48,000",
Insurance Premium,"26,000",
Property Tax - Municipal,"62,000",
Directors Loan Account,"5,00,000",
Grand Total,"22,26,500","28,33,000"
